Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
248,Kosta Koufos\koufoko01,C,20,UTA,36,0,4.8,0.6,1.3,0.468,0,0,,0.6,1.3,0.468,0.468,0.3,0.4,0.6,0.4,0.8,1.3,0.2,0.1,0.1,0.4,0.7,1.5
249,Nenad Krstić\krstine01,C,26,OKC,76,76,22.9,3.7,7.4,0.502,0,0.1,0.2,3.7,7.3,0.505,0.503,1,1.4,0.717,1.8,3.3,5,0.7,0.4,0.6,0.8,2.3,8.4
250,Oliver Lafayette\lafayol01,SG,25,BOS,1,0,22,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,1,3,4,2,0,0,1,0,7
251,Carl Landry\landrca01,PF,26,TOT,80,29,30.9,6.2,11.6,0.536,0,0,0.333,6.2,11.6,0.537,0.537,4.3,5.3,0.806,2.4,3.5,5.9,0.8,0.7,0.8,1.7,2.9,16.8
251,Carl Landry\landrca01,PF,26,HOU,52,1,27.2,5.8,10.6,0.547,0,0,,5.8,10.6,0.547,0.547,4.5,5.4,0.839,2.3,3.2,5.5,0.8,0.5,0.9,1.7,2.8,16.1
251,Carl Landry\landrca01,PF,26,SAC,28,28,37.6,7,13.5,0.52,0,0.1,0.333,7,13.4,0.521,0.521,3.9,5.3,0.741,2.4,4.1,6.5,0.9,1,0.6,1.8,3.1,18
252,Marcus Landry\landrma01,SF,24,TOT,18,0,6.2,0.9,2.4,0.372,0.5,1.6,0.321,0.4,0.8,0.467,0.477,0.2,0.3,0.6,0.3,0.8,1.1,0,0.1,0.1,0.3,0.8,2.4
252,Marcus Landry\landrma01,SF,24,NYK,17,0,6.4,0.9,2.4,0.39,0.5,1.5,0.346,0.4,0.9,0.467,0.5,0.2,0.3,0.6,0.3,0.8,1.1,0,0.1,0.1,0.4,0.8,2.6
252,Marcus Landry\landrma01,SF,24,BOS,1,0,3,0,2,0,0,2,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
253,Acie Law\lawac01,PG,25,TOT,26,1,9,1.3,2.9,0.467,0.2,0.6,0.313,1.2,2.3,0.508,0.5,1.5,1.9,0.776,0.1,0.5,0.7,1,0.4,0,0.7,0.6,4.3
253,Acie Law\lawac01,PG,25,GSW,5,0,13.2,1.8,2.8,0.643,0.2,0.6,0.333,1.6,2.2,0.727,0.679,2.4,3,0.8,0,0.4,0.4,1.4,1.2,0,0.4,1,6.2
253,Acie Law\lawac01,PG,25,CHA,9,0,3.7,0.6,1.8,0.313,0,0.1,0,0.6,1.7,0.333,0.313,0.7,0.8,0.857,0,0.1,0.1,0.3,0.1,0.1,0.3,0.3,1.8
253,Acie Law\lawac01,PG,25,CHI,12,1,11.3,1.8,3.8,0.467,0.3,1,0.333,1.4,2.8,0.515,0.511,1.7,2.3,0.741,0.3,0.9,1.2,1.3,0.3,0,1,0.7,5.5
254,Ty Lawson\lawsoty01,PG,22,DEN,65,8,20.3,3.1,6,0.515,0.5,1.3,0.41,2.6,4.7,0.544,0.559,1.6,2.2,0.757,0.6,1.3,1.9,3.1,0.7,0,1.3,1.4,8.3
255,Courtney Lee\leeco01,SG,24,NJN,71,66,33.5,4.8,10.9,0.436,1.1,3.2,0.338,3.7,7.7,0.476,0.485,1.9,2.2,0.869,0.8,2.7,3.5,1.7,1.3,0.3,1.1,1.8,12.5
256,David Lee\leeda02,C,26,NYK,81,81,37.3,8.5,15.5,0.545,0,0.1,0,8.5,15.4,0.549,0.545,3.3,4.1,0.812,2.8,8.9,11.7,3.6,1,0.5,2.3,3.2,20.2
257,Rashard Lewis\lewisra02,PF,30,ORL,72,72,32.9,4.9,11.2,0.435,2.3,5.9,0.397,2.5,5.3,0.476,0.539,2,2.5,0.806,0.9,3.6,4.4,1.5,1.1,0.4,1.5,2.5,14.1
258,Shaun Livingston\livinsh01,PG,24,TOT,36,18,22.1,2.9,5.6,0.517,0,0.2,0,2.9,5.4,0.533,0.517,1.2,1.3,0.875,0.4,1.7,2.2,3.6,0.5,0.3,1.6,1.7,6.9
258,Shaun Livingston\livinsh01,PG,24,OKC,10,0,13,0.5,1.6,0.313,0,0.2,0,0.5,1.4,0.357,0.313,0,0,,0.4,1.6,2,1.4,0.5,0.2,0.8,0.9,1
258,Shaun Livingston\livinsh01,PG,24,WAS,26,18,25.6,3.8,7.1,0.535,0,0.2,0,3.8,7,0.547,0.535,1.6,1.8,0.875,0.5,1.8,2.2,4.5,0.5,0.3,1.9,2,9.2
259,Brook Lopez\lopezbr01,C,21,NJN,82,82,36.9,6.9,13.8,0.499,0,0,0,6.9,13.7,0.5,0.499,5.1,6.2,0.817,3.3,5.4,8.6,2.3,0.7,1.7,2.5,3.1,18.8
260,Robin Lopez\lopezro01,C,21,PHO,51,31,19.3,3.4,5.7,0.588,0,0,,3.4,5.7,0.588,0.588,1.7,2.5,0.704,2,2.8,4.9,0.1,0.2,1,0.8,2.3,8.4
261,Kevin Love\loveke01,PF,21,MIN,60,22,28.6,4.9,10.8,0.45,0.6,1.8,0.33,4.3,9,0.474,0.478,3.8,4.6,0.815,3.8,7.2,11,2.3,0.7,0.4,2,2.3,14
262,Kyle Lowry\lowryky01,PG,23,HOU,68,0,24.3,2.7,6.8,0.397,0.5,2,0.272,2.2,4.8,0.448,0.436,3.2,3.8,0.827,1.3,2.3,3.6,4.5,0.9,0.1,1.7,2.5,9.1
263,Corey Maggette\maggeco01,PF,30,GSW,70,49,29.7,6.5,12.7,0.516,0.2,0.7,0.26,6.3,11.9,0.531,0.523,6.6,7.9,0.835,1.3,4,5.3,2.5,0.7,0.1,2.4,3.3,19.8
264,Jamaal Magloire\magloja01,C,31,MIA,36,0,10,0.8,1.6,0.5,0,0,,0.8,1.6,0.5,0.5,0.6,1.6,0.356,1.1,2.2,3.4,0,0.3,0.3,0.5,1.6,2.1
265,Ian Mahinmi\mahinia01,C,23,SAS,26,0,6.3,1.3,2.1,0.636,0,0,,1.3,2.1,0.636,0.636,1.2,1.8,0.66,0.5,1.5,2,0.1,0.1,0.3,0.6,1.2,3.9
